ident,type,name,iso_country,iata_code,coordinates
BIEG,medium_airport,Egilsstaðir Airport,IS,EGS,"-14.401399612426758, 65.2833023071289"
BIHN,medium_airport,Hornafjörður Airport,IS,HFN,"-15.2272, 64.295601"
BIHU,medium_airport,Húsavík Airport,IS,HZK,"-17.426001, 65.952301"
BIIS,medium_airport,Ísafjörður Airport,IS,IFJ,"-23.135299682617188, 66.05809783935547"
BISI,medium_airport,Siglufjörður Airport,IS,SIJ,"-18.9167, 66.133301"
BKPR,large_airport,Prishtina International Airport,XK,PRN,"21.035801, 42.5728"
EBLG,large_airport,Liège Airport,BE,LGG,"5.443220138549805, 50.63740158081055"
EDDB,large_airport,Berlin-Schönefeld Airport,DE,SXF,"13.5225, 52.380001"
EDDG,large_airport,Münster Osnabrück Airport,DE,FMO,"7.68483018875, 52.134601593"
EDDL,large_airport,Düsseldorf Airport,DE,DUS,"6.76678, 51.289501"
EDDR,medium_airport,Saarbrücken Airport,DE,SCN,"7.10950994492, 49.214599609400004"
