ident,type,name,iso_country,iata_code,coordinates
EFMA,medium_airport,Mariehamn Airport,FI,MHQ,"19.898199081421, 60.122200012207"
EFMI,medium_airport,Mikkeli Airport,FI,MIK,"27.201799, 61.6866"
EFOU,medium_airport,Oulu Airport,FI,OUL,"25.354600906372, 64.930099487305"
EFPO,medium_airport,Pori Airport,FI,POR,"21.799999237061, 61.461700439453"
EFRO,medium_airport,Rovaniemi Airport,FI,RVN,"25.830400466919, 66.564796447754"
EFSA,medium_airport,Savonlinna Airport,FI,SVL,"28.945100784302, 61.943099975586"
EFSI,medium_airport,Seinäjoki Airport,FI,SJY,"22.8323, 62.692101"
EFSO,medium_airport,Sodankyla Airport,FI,SOT,"26.6191005707, 67.3949966431"
EFTP,medium_airport,Tampere-Pirkkala Airport,FI,TMP,"23.604400634766, 61.414100646973"
EFTU,medium_airport,Turku Airport,FI,TKU,"22.262800216675, 60.514099121094"
EFUT,medium_airport,Utti Air Base,FI,UTI,"26.938400268555, 60.89640045166"
EFVA,medium_airport,Vaasa Airport,FI,VAA,"21.762199401855, 63.050701141357"
EFVR,medium_airport,Varkaus Airport,FI,VRK,"27.868600845337, 62.171100616455"
EFYL,medium_airport,Ylivieska Airfield,FI,YLI,"24.7252778, 64.0547222"
EGAA,large_airport,Belfast International Airport,GB,BFS,"-6.2158298492399995, 54.6575012207"
EGAB,medium_airport,St Angelo Airport,GB,ENK,"-7.651669979095459, 54.39889907836914"
EGAC,large_airport,George Best Belfast City Airport,GB,BHD,"-5.872499942779541, 54.618099212646484"
EGAE,medium_airport,City of Derry Airport,GB,LDY,"-7.161109924316406, 55.04280090332031"
EGBB,large_airport,Birmingham International Airport,GB,BHX,"-1.74802994728, 52.453899383499994"
EGBE,medium_airport,Coventry Airport,GB,CVT,"-1.4797199964499999, 52.3697013855"
EGBJ,medium_airport,Gloucestershire Airport,GB,GLO,"-2.167220115661621, 51.89419937133789"
EGBN,medium_airport,Nottingham Airport,GB,NQT,"-1.0791699886322021, 52.91999816894531"
EGCC,large_airport,Manchester Airport,GB,MAN,"-2.2749500274658203, 53.35369873046875"
EGCN,large_airport,Robin Hood Doncaster Sheffield Airport,GB,DSA,"-1.01065635681, 53.4805378105"
EGDY,medium_airport,RNAS Yeovilton,GB,YEO,"-2.638819932937622, 51.0093994140625"
EGEC,medium_airport,Campbeltown Airport,GB,CAL,"-5.686389923095703, 55.437198638916016"
EGED,medium_airport,Eday Airport,GB,EOI,"-2.7722198963165283, 59.19060134887695"
EGEF,medium_airport,Fair Isle Airport,GB,FIE,"-1.628059983253479, 59.53580093383789"
EGFE,medium_airport,Haverfordwest Airport,GB,HAW,"-4.9611101150512695, 51.833099365234375"
EGFF,large_airport,Cardiff International Airport,GB,CWL,"-3.343329906463623, 51.39670181274414"
EGFH,medium_airport,Swansea Airport,GB,SWS,"-4.0678300857543945, 51.60530090332031"
EGGD,large_airport,Bristol Airport,GB,BRS,"-2.71909, 51.382702"
EGGP,large_airport,Liverpool John Lennon Airport,GB,LPL,"-2.849720001220703, 53.33359909057617"
EGGW,large_airport,London Luton Airport,GB,LTN,"-0.36833301186561584, 51.874698638916016"
EGHC,medium_airport,Land's End Airport,GB,LEQ,"-5.67056, 50.102798"
EGHE,medium_airport,St. Mary's Airport,GB,ISC,"-6.291669845581055, 49.913299560546875"
EGHH,large_airport,Bournemouth Airport,GB,BOH,"-1.8424999713897705, 50.779998779296875"
EGHI,large_airport,Southampton Airport,GB,SOU,"-1.3567999601364136, 50.95029830932617"
EGHQ,medium_airport,Newquay Cornwall Airport,GB,NQY,"-4.995409965515137, 50.44060134887695"
EGJA,medium_airport,Alderney Airport,GG,ACI,"-2.21472, 49.706104"
EGJB,medium_airport,Guernsey Airport,GG,GCI,"-2.6019699573516846, 49.435001373291016"
EGJJ,medium_airport,Jersey Airport,JE,JER,"-2.195509910583496, 49.20790100097656"
EGKA,medium_airport,Shoreham Airport,GB,ESH,"-0.297222, 50.835602"
EGKB,medium_airport,London Biggin Hill Airport,GB,BQH,"0.0324999988079, 51.33079910279999"
EGKK,large_airport,London Gatwick Airport,GB,LGW,"-0.190278, 51.148102"
EGLC,medium_airport,London City Airport,GB,LCY,"0.055278, 51.505299"
EGLF,medium_airport,Farnborough Airport,GB,FAB,"-0.776332974434, 51.2757987976"
EGLK,medium_airport,Blackbushe Airport,GB,BBS,"-0.8475000262260437, 51.32389831542969"
EGLL,large_airport,London Heathrow Airport,GB,LHR,"-0.461941, 51.4706"
EGMC,medium_airport,Southend Airport,GB,SEN,"0.6955559849739075, 51.5713996887207"
EGMD,medium_airport,Lydd Airport,GB,LYX,"0.9391670227050781, 50.95610046386719"
EGNC,medium_airport,Carlisle Airport,GB,CAX,"-2.8091700077056885, 54.9375"
EGNH,medium_airport,Blackpool International Airport,GB,BLK,"-3.0286099910736084, 53.77170181274414"
EGNJ,medium_airport,Humberside Airport,GB,HUY,"-0.350832998752594, 53.57440185546875"
EGNL,medium_airport,Barrow Walney Island Airport,GB,BWF,"-3.2675, 54.1286111"
EGNM,large_airport,Leeds Bradford Airport,GB,LBA,"-1.6605700254440308, 53.86589813232422"
EGNO,medium_airport,Warton Aerodrome,GB,WRT,"-2.88306, 53.745098"
EGNR,medium_airport,Hawarden Airport,GB,CEG,"-2.9777801036834717, 53.1781005859375"
EGNS,medium_airport,Isle of Man Airport,IM,IOM,"-4.623889923095703, 54.08330154418945"
EGNT,large_airport,Newcastle Airport,GB,NCL,"-1.6916699409484863, 55.037498474121094"
EGNV,medium_airport,Durham Tees Valley Airport,GB,MME,"-1.4294099807739258, 54.50920104980469"
EGNX,large_airport,East Midlands Airport,GB,EMA,"-1.32806003094, 52.8311004639"
EGOV,medium_airport,Anglesey Airport,GB,VLY,"-4.53533983231, 53.2481002808"
EGPA,medium_airport,Kirkwall Airport,GB,KOI,"-2.9049999713897705, 58.957801818847656"
EGPB,medium_airport,Sumburgh Airport,GB,LSI,"-1.2955600023269653, 59.87889862060547"
EGPC,medium_airport,Wick Airport,GB,WIC,"-3.09306001663208, 58.458900451660156"
EGPD,large_airport,Aberdeen Dyce Airport,GB,ABZ,"-2.197779893875122, 57.201900482177734"
EGPE,medium_airport,Inverness Airport,GB,INV,"-4.047500133514404, 57.54249954223633"
EGPF,large_airport,Glasgow International Airport,GB,GLA,"-4.43306, 55.871899"
EGPH,large_airport,Edinburgh Airport,GB,EDI,"-3.372499942779541, 55.95000076293945"
EGPI,medium_airport,Islay Airport,GB,ILY,"-6.256669998168945, 55.68190002441406"
EGPK,medium_airport,Glasgow Prestwick Airport,GB,PIK,"-4.586669921875, 55.5093994140625"
EGPL,medium_airport,Benbecula Airport,GB,BEB,"-7.3627800941467285, 57.48109817504883"
EGPM,medium_airport,Scatsta Airport,GB,SCS,"-1.2961100339889526, 60.43280029296875"
EGPN,medium_airport,Dundee Airport,GB,DND,"-3.025830030441284, 56.45249938964844"
EGPO,medium_airport,Stornoway Airport,GB,SYY,"-6.331110000610352, 58.215599060058594"
EGPR,medium_airport,Barra Airport,GB,BRR,"-7.44306, 57.0228"
EGPU,medium_airport,Tiree Airport,GB,TRE,"-6.869170188903809, 56.49919891357422"
EGQK,medium_airport,RAF Kinloss,GB,FSS,"-3.56064009666, 57.6493988037"
EGQL,medium_airport,RAF Leuchars,GB,ADX,"-2.8684399127960205, 56.37289810180664"
EGQS,medium_airport,RAF Lossiemouth,GB,LMO,"-3.339169979095459, 57.7052001953125"
EGSC,medium_airport,Cambridge Airport,GB,CBG,"0.175, 52.205002"
EGSH,large_airport,Norwich International Airport,GB,NWI,"1.28278005123, 52.6758003235"
EGSS,large_airport,London Stansted Airport,GB,STN,"0.234999999404, 51.8849983215"
EGTE,large_airport,Exeter International Airport,GB,EXT,"-3.4138898849487305, 50.73440170288086"
EGTK,medium_airport,Oxford (Kidlington) Airport,GB,OXF,"-1.32000005245, 51.8368988037"
EGUB,medium_airport,RAF Benson,GB,BEX,"-1.09582996368, 51.616401672399995"
EGUL,large_airport,RAF Lakenheath,GB,LKZ,"0.56099998951, 52.409301757799994"
EGUN,large_airport,RAF Mildenhall,GB,MHZ,"0.48640599846839905, 52.361900329589844"
EGUY,medium_airport,RAF Wyton,GB,QUY,"-0.107832998037, 52.3572006226"
EGVA,large_airport,RAF Fairford,GB,FFD,"-1.7900300025900002, 51.6822013855"
EGVN,large_airport,RAF Brize Norton,GB,BZZ,"-1.58362, 51.75"
EGVO,medium_airport,RAF Odiham,GB,ODH,"-0.94282501936, 51.2341003418"
EGWU,medium_airport,RAF Northolt,GB,NHT,"-0.418166995049, 51.553001403799996"
EGXC,medium_airport,RAF Coningsby,GB,QCY,"-0.166014000773, 53.0929985046"
EGXH,medium_airport,RAF Honington,GB,BEQ,"0.7729390263557434, 52.34260177612305"
EGXP,medium_airport,RAF Scampton,GB,SQZ,"-0.550832986832, 53.307800293"
EGXU,medium_airport,RAF Linton-On-Ouse,GB,HRT,"-1.2527500391, 54.0489006042"
EGXW,medium_airport,RAF Waddington,GB,WTN,"-0.523810982704, 53.1661987305"
EGYM,medium_airport,RAF Marham,GB,KNF,"0.550692, 52.648395"
EHAM,large_airport,Amsterdam Airport Schiphol,NL,AMS,"4.76389, 52.308601"
EHBK,medium_airport,Maastricht Aachen Airport,NL,MST,"5.77014, 50.911701"
EHEH,large_airport,Eindhoven Airport,NL,EIN,"5.37452983856, 51.4500999451"
EHGG,medium_airport,Eelde Airport,NL,GRQ,"6.57944011688, 53.1197013855"
EHGR,medium_airport,Gilze Rijen Air Base,NL,GLZ,"4.931829929351807, 51.56740188598633"
EHKD,medium_airport,De Kooy Airport,NL,DHR,"4.780620098114014, 52.92340087890625"
EHLE,medium_airport,Lelystad Airport,NL,LEY,"5.52722, 52.4603"
EHLW,medium_airport,Leeuwarden Air Base,NL,LWR,"5.760560035705566, 53.228599548339844"
EHRD,medium_airport,Rotterdam The Hague Airport,NL,RTM,"4.43722, 51.956902"
EHTW,medium_airport,Twente Airport,NL,ENS,"6.889167, 52.275833"
EHWO,medium_airport,Woensdrecht Air Base,NL,WOE,"4.34203, 51.4491"
EICK,large_airport,Cork Airport,IE,ORK,"-8.491109848022461, 51.84130096435547"
EICM,medium_airport,Galway Airport,IE,GWY,"-8.941590309143066, 53.300201416015625"
EIDL,medium_airport,Donegal Airport,IE,CFN,"-8.340999603271484, 55.0442008972168"
EIDW,large_airport,Dublin Airport,IE,DUB,"-6.27007, 53.421299"
EIKN,medium_airport,Ireland West Knock Airport,IE,NOC,"-8.818490028381348, 53.910301208496094"
EIKY,medium_airport,Kerry Airport,IE,KIR,"-9.52377986907959, 52.18090057373047"
EINN,large_airport,Shannon Airport,IE,SNN,"-8.92482, 52.702"
EISG,medium_airport,Sligo Airport,IE,SXL,"-8.5992097854614, 54.280200958252"
EIWF,medium_airport,Waterford Airport,IE,WAT,"-7.0869598388671875, 52.187198638916016"
EKAH,medium_airport,Aarhus Airport,DK,AAR,"10.619000434899998, 56.2999992371"
EKBI,large_airport,Billund Airport,DK,BLL,"9.15178012848, 55.7402992249"
EKCH,large_airport,Copenhagen Kastrup Airport,DK,CPH,"12.656000137329, 55.617900848389"
EKEB,medium_airport,Esbjerg Airport,DK,EBJ,"8.5534, 55.525902"
EKKA,medium_airport,Karup Airport,DK,KRP,"9.124629974365234, 56.29750061035156"
EKMB,medium_airport,Lolland Falster Maribo Airport,DK,MRW,"11.4401, 54.699299"
EKOD,medium_airport,Odense Airport,DK,ODE,"10.330900192260742, 55.47669982910156"
EKRK,medium_airport,Copenhagen Roskilde Airport,DK,RKE,"12.131400108337402, 55.585601806640625"
EKRN,medium_airport,Bornholm Airport,DK,RNN,"14.759599685668945, 55.06330108642578"
EKSB,medium_airport,Sønderborg Airport,DK,SGD,"9.791729927062988, 54.96440124511719"
EKSN,medium_airport,Sindal Airport,DK,CNL,"10.2294, 57.503502"
EKSP,medium_airport,Skrydstrup Air Base,DK,SKS,"9.26702, 55.221048"
EKSV,medium_airport,Skive Airport,DK,SQW,"9.172980308532715, 56.550201416015625"
EKTS,medium_airport,Thisted Airport,DK,TED,"8.705220222473145, 57.06880187988281"
EKVG,medium_airport,Vagar Airport,FO,FAE,"-7.277219772338867, 62.0635986328125"
EKVJ,medium_airport,Stauning Airport,DK,STA,"8.353910446166992, 55.9901008605957"
EKYT,large_airport,Aalborg Airport,DK,AAL,"9.84924316406, 57.0927589138"
ELLX,large_airport,Luxembourg-Findel International Airport,LU,LUX,"6.2044444, 49.6233333"
ENAL,medium_airport,Ålesund Airport,NO,AES,"6.119699954986572, 62.5625"
ENAN,medium_airport,Andøya Airport,NO,ANX,"16.144199371338, 69.292503356934"
ENAT,medium_airport,Alta Airport,NO,ALF,"23.371700286865, 69.976097106934"
ENBN,medium_airport,Brønnøysund Airport,NO,BNN,"12.217499732971, 65.461097717285"
ENBO,large_airport,Bodø Airport,NO,BOO,"14.365300178527832, 67.26920318603516"
ENBR,large_airport,Bergen Airport Flesland,NO,BGO,"5.218140125, 60.29339981"
ENBS,medium_airport,Båtsfjord Airport,NO,BJF,"29.691400527954, 70.60050201416"
ENBV,medium_airport,Berlevåg Airport,NO,BVG,"29.034201, 70.871399"
ENCN,medium_airport,Kristiansand Airport,NO,KRS,"8.08537, 58.204201"
ENDU,medium_airport,Bardufoss Airport,NO,BDU,"18.540399551392, 69.055801391602"
ENEV,medium_airport,"Harstad/Narvik Airport, Evenes",NO,EVE,"16.678100585938, 68.491302490234"
ENFG,medium_airport,Leirin Airport,NO,VDB,"9.2880601882935, 61.015598297119"
ENFL,medium_airport,Florø Airport,NO,FRO,"5.0247201919556, 61.583599090576"
ENGM,large_airport,Oslo Gardermoen Airport,NO,OSL,"11.100399971008, 60.193901062012"
ENHD,medium_airport,Haugesund Airport,NO,HAU,"5.2083601951599, 59.34529876709"
ENHF,medium_airport,Hammerfest Airport,NO,HFT,"23.668600082397, 70.679702758789"
ENHV,medium_airport,Valan Airport,NO,HVG,"25.983600616455, 71.009696960449"
ENKB,medium_airport,Kristiansund Airport (Kvernberget),NO,KSU,"7.824520111084, 63.111801147461"
ENKR,medium_airport,Kirkenes Airport (Høybuktmoen),NO,KKN,"29.891300201416, 69.725799560547"
ENLK,medium_airport,Leknes Airport,NO,LKN,"13.609399795532, 68.152496337891"
ENMH,medium_airport,Mehamn Airport,NO,MEH,"27.826700210571, 71.02970123291"
ENML,medium_airport,Molde Airport,NO,MOL,"7.2624998092651, 62.744701385498"
ENMS,medium_airport,Mosjøen Airport (Kjærstad),NO,MJF,"13.214900016785, 65.783996582031"
ENNA,medium_airport,Banak Airport,NO,LKL,"24.973499298096, 70.068801879883"
ENNK,medium_airport,Narvik Framnes Airport,NO,NVK,"17.386699676514, 68.436897277832"
ENNO,medium_airport,Notodden Airport,NO,NTB,"9.21222, 59.565701"
ENOL,medium_airport,Ørland Airport,NO,OLA,"9.604000091552734, 63.69889831542969"
ENOV,medium_airport,"Ørsta-Volda Airport, Hovden",NO,HOV,"6.0741000175476, 62.180000305176"
ENRA,medium_airport,"Mo i Rana Airport, Røssvoll",NO,MQN,"14.301400184631, 66.363899230957"
ENRM,medium_airport,"Rørvik Airport, Ryum",NO,RVK,"11.14610004425, 64.838302612305"
ENRO,medium_airport,Røros Airport,NO,RRS,"11.342300415039, 62.578399658203"
ENRY,medium_airport,"Moss Airport, Rygge",NO,RYG,"10.785439, 59.378817"
ENSB,medium_airport,"Svalbard Airport, Longyear",NO,LYR,"15.465600013733, 78.246101379395"
ENSH,medium_airport,Svolvær Helle Airport,NO,SVJ,"14.669199943542, 68.243301391602"
ENSK,medium_airport,Stokmarknes Skagen Airport,NO,SKN,"15.033416748047, 68.578826904297"
ENSN,medium_airport,Skien Airport,NO,SKE,"9.566940307617188, 59.185001373291016"
ENSO,medium_airport,Stord Airport,NO,SRP,"5.340849876403809, 59.791900634765625"
ENSR,medium_airport,Sørkjosen Airport,NO,SOJ,"20.959400177002, 69.786796569824"
ENSS,medium_airport,"Vardø Airport, Svartnes",NO,VAW,"31.044900894165, 70.355400085449"
ENST,medium_airport,Sandnessjøen Airport (Stokka),NO,SSJ,"12.468899726868, 65.956802368164"
ENTC,large_airport,Tromsø Airport,NO,TOS,"18.918899536132812, 69.68329620361328"
ENTO,medium_airport,"Sandefjord Airport, Torp",NO,TRF,"10.258600235, 59.1866989136"
ENVA,large_airport,Trondheim Airport Værnes,NO,TRD,"10.9239998, 63.4578018"
ENVD,medium_airport,Vadsø Airport,NO,VDS,"29.844699859619, 70.065299987793"
ENZV,large_airport,Stavanger Airport Sola,NO,SVG,"5.6377801895, 58.876701354"
EPBP,medium_airport,Biała Podlaska Airfield,PL,BXP,"23.1325278, 52.00078"
EPBY,medium_airport,Bydgoszcz Ignacy Jan Paderewski Airport,PL,BZG,"17.9776992798, 53.096801757799994"
EPGD,large_airport,Gdańsk Lech Wałęsa Airport,PL,GDN,"18.46619987487793, 54.377601623535156"
EPKK,large_airport,Kraków John Paul II International Airport,PL,KRK,"19.7848, 50.077702"
EPKT,large_airport,Katowice International Airport,PL,KTW,"19.08, 50.4743"
EPLL,medium_airport,Łódź Władysław Reymont Airport,PL,LCJ,"19.3980998993, 51.721900939899996"
EPMO,large_airport,Modlin Airport,PL,WMI,"20.6518, 52.451099"
EPOK,medium_airport,Oksywie Military Air Base,PL,QYD,"18.51720047, 54.57970047"
EPPO,large_airport,Poznań-Ławica Airport,PL,POZ,"16.8262996674, 52.421001434299995"
EPRA,medium_airport,Radom Airport,PL,RDO,"21.213300705, 51.3891983032"
EPRZ,medium_airport,Rzeszów-Jasionka Airport,PL,RZE,"22.018999, 50.110001"
EPSC,medium_airport,"Szczecin-Goleniów ""Solidarność” Airport",PL,SZZ,"14.902199745199999, 53.584701538100006"
EPSY,medium_airport,Olsztyn-Mazury Airport,PL,SZY,"20.9377, 53.481899"
EPWA,large_airport,Warsaw Chopin Airport,PL,WAW,"20.967100143399996, 52.1656990051"
EPWR,large_airport,Copernicus Wrocław Airport,PL,WRO,"16.885799408, 51.1026992798"
EPZG,medium_airport,Zielona Góra-Babimost Airport,PL,IEG,"15.7986001968, 52.138500213600004"
ESDF,medium_airport,Ronneby Airport,SE,RNB,"15.265000343323, 56.266700744629"
ESGG,large_airport,Gothenburg-Landvetter Airport,SE,GOT,"12.279800415039, 57.662799835205"
ESGJ,medium_airport,Jönköping Airport,SE,JKG,"14.068699836730957, 57.757598876953125"
ESGP,medium_airport,Gothenburg City Airport,SE,GSE,"11.8704, 57.7747"
ESGR,medium_airport,Skövde Airport,SE,KVB,"13.972700119018555, 58.45640182495117"
ESGT,medium_airport,Trollhättan–Vänersborg Airport,SE,THN,"12.345000267028809, 58.31809997558594"
ESKK,medium_airport,Karlskoga Airport,SE,KSK,"14.49590015411377, 59.34590148925781"
ESKM,medium_airport,Mora Airport,SE,MXX,"14.5114, 60.957901"
ESKN,medium_airport,Stockholm Skavsta Airport,SE,NYO,"16.912200927734375, 58.78860092163086"
ESMK,medium_airport,Kristianstad Airport,SE,KID,"14.08549976348877, 55.92169952392578"
ESMQ,medium_airport,Kalmar Airport,SE,KLR,"16.287599563598633, 56.68550109863281"
ESMS,large_airport,Malmö Sturup Airport,SE,MMX,"13.376197814900001, 55.536305364"
ESMT,medium_airport,Halmstad Airport,SE,HAD,"12.820199966430664, 56.69110107421875"
ESMX,medium_airport,Växjö Kronoberg Airport,SE,VXO,"14.727999687194824, 56.929100036621094"
ESND,medium_airport,Sveg Airport,SE,EVG,"14.422900199890137, 62.04779815673828"
ESNG,medium_airport,Gällivare Airport,SE,GEV,"20.814599990844727, 67.13240051269531"
ESNK,medium_airport,Kramfors Sollefteå Airport,SE,KRF,"17.76889991760254, 63.04859924316406"
ESNL,medium_airport,Lycksele Airport,SE,LYC,"18.71619987487793, 64.54830169677734"
ESNN,medium_airport,Sundsvall-Timrå Airport,SE,SDL,"17.443899154663086, 62.528099060058594"
ESNO,medium_airport,Örnsköldsvik Airport,SE,OER,"18.989999771118164, 63.40829849243164"
ESNQ,medium_airport,Kiruna Airport,SE,KRN,"20.336799621582, 67.821998596191"
ESNS,medium_airport,Skellefteå Airport,SE,SFT,"21.076900482177734, 64.62480163574219"
ESNU,medium_airport,Umeå Airport,SE,UME,"20.282800674438, 63.791801452637"
ESNV,medium_airport,Vilhelmina Airport,SE,VHM,"16.833599090576172, 64.5791015625"
ESNX,medium_airport,Arvidsjaur Airport,SE,AJR,"19.28190040588379, 65.59030151367188"
ESNY,medium_airport,Söderhamn Airport,SE,SOO,"17.09910011291504, 61.26150131225586"
ESNZ,medium_airport,Åre Östersund Airport,SE,OSD,"14.50030040741, 63.194400787354"
ESOE,medium_airport,Örebro Airport,SE,ORB,"15.038000106811523, 59.22370147705078"
